# x: metNoX_pt bins
# val: MET trigger efficiency from SingleMuon triggers (IsoMu24 || IsoTkMu24)
# err_down: trigger efficiency down error
# err_up: trigger efficiency up error
    x_low  x_high         val    err_down      err_up
0     0.0    50.0  0.04545455  0.04545455  0.04545455
1    50.0   100.0  0.18032787  0.06268081  0.06268081
2   100.0   125.0  0.45131579  0.16773183  0.16773183
3   125.0   150.0  0.74567538  0.02261731  0.02261731
4   150.0   175.0  0.89633101  0.03269465  0.03269465
5   175.0   200.0  0.94904037  0.04588033  0.04588033
6   200.0   250.0  0.97073641  0.03143005  0.02926359
7   250.0   300.0  0.98358209  0.02524876  0.01641791
8   300.0   350.0  0.99172772  0.01557000  0.00827228
9   350.0   400.0  0.99636869  0.00649014  0.00363131
10  400.0   500.0  0.99802176  0.00893581  0.00197824
11  500.0   600.0  0.99901039  0.00098961  0.00098961
12  600.0   700.0  0.99717514  0.00282486  0.00282486
13  700.0   800.0  1.00000000  0.00000000  0.00000000
14  800.0  1000.0  1.00000000  0.00000000  0.00000000
